artist,num  >= 6.5,percent >= 6.5,num  >= 6,percent > 6,mean,std,median,min,max,count
Antoine Blanchard,168,0.9882352941,170,1,6.953757395,0.2008865608,6.94024086,6.345681191,7.448756218,170
Edouard Cortes,208,0.9719626168,214,1,7.066687317,0.2560333782,7.093054533,6.026753902,7.543863773,214
Konstantin Makovsky,70,0.2160493827,262,0.8086419753,6.254227855,0.2862427837,6.271180391,5.135105133,6.985123158,324
Ivan Kramskoy,28,0.1818181818,131,0.8506493506,6.261556136,0.283144546,6.293128729,5.476541519,7.049269676,154
Nikolay Bogdanov Belsky,36,0.1818181818,144,0.7272727273,6.180395071,0.3711085317,6.245308876,5.06541872,6.917036057,198
Jacek Malczewski,15,0.1648351648,60,0.6593406593,6.11456423,0.3703862561,6.101675034,5.038964272,6.840770721,91
Gustave Caillebotte,25,0.1373626374,106,0.5824175824,6.089156874,0.3748575713,6.0883708,4.296171665,6.999762535,182
Vasily Perov,24,0.1348314607,87,0.4887640449,5.927645871,0.4780878166,5.98224926,4.650880337,6.804011822,178
Ivan Aivazovsky,70,0.1213171577,394,0.6828422877,6.128837923,0.3272633792,6.155608177,4.739392281,6.893315792,577
Theo Van Rysselberghe,20,0.1183431953,102,0.6035502959,6.080353068,0.3645948667,6.096662521,5.113307953,6.890492439,169
Henri Martin,16,0.1142857143,83,0.5928571429,6.098525119,0.3373605671,6.117320538,5.231966972,6.868069649,140
Giovanni Boldini,24,0.1066666667,121,0.5377777778,5.994255566,0.4232630991,6.020004273,4.871343136,6.930121899,225
John Singer Sargent,82,0.1045918367,486,0.6198979592,6.062918107,0.3834888387,6.10354352,4.415689468,7.3265481,784
Joaquã­N Sorolla,32,0.09552238806,171,0.5104477612,6.015234315,0.3384410352,6.017504692,5.079022884,7.115741253,335
Ilya Repin,48,0.08905380334,306,0.5677179963,6.028742304,0.3794188091,6.070961952,4.825013638,7.012147427,539
Vasily Polenov,19,0.08444444444,107,0.4755555556,5.934216181,0.4297100819,5.968419552,4.705379486,6.849671364,225
Katsushika Hokusai,14,0.08187134503,67,0.3918128655,5.794247655,0.5541871295,5.838095665,4.100548744,6.825510979,171
Ivan Shishkin,39,0.075,227,0.4365384615,5.900535237,0.4311299537,5.944192171,4.48607254,6.962326527,520
Sir Lawrence Alma Tadema,12,0.07228915663,98,0.5903614458,6.031624306,0.3328262939,6.037018776,5.097893715,6.754442692,166
Zinaida Serebriakova,23,0.06990881459,162,0.4924012158,5.984397556,0.3739250419,5.992044449,4.788426876,7.021521092,329
Henri Fantin Latour,6,0.05714285714,37,0.3523809524,5.918986207,0.3643108461,5.912382603,4.341268063,6.830218315,105
William Merritt Chase,20,0.05649717514,173,0.488700565,5.99522846,0.3210761095,5.99272728,5.005571365,7.224266052,354
Vasily Vereshchagin,9,0.05421686747,61,0.3674698795,5.841430469,0.4172717676,5.867776632,4.429860115,6.897642136,166
Aleksey Savrasov,12,0.05217391304,107,0.4652173913,5.93635296,0.3921756534,5.974621058,4.594786167,6.845859528,230
Nicholas Roerich,93,0.05112699285,505,0.2776250687,5.580322446,0.6297618301,5.657360077,3.561443806,6.908043861,1819
Karl Bryullov,7,0.04827586207,72,0.4965517241,5.975254996,0.3742774025,5.996706009,4.864295483,6.591125488,145
