genre,num >= 6.5,percent >= 6.5,num >= 6,percent >= 6,mean,std,median,min,max,count
Cityscape,539,0.11712299,2151,0.4674054759,5.983541456,0.487919323,5.966810226,3.988565445,7.543863773,4602
Portrait,693,0.04910714286,5616,0.3979591837,5.87473871,0.4111084519,5.899817467,3.728713036,7.3265481,14112
Landscape,505,0.03780506064,4637,0.3471328043,5.843983008,0.3912977274,5.868695259,3.471055508,7.07434845,13358
Genre Painting,363,0.03342849249,3110,0.2863983792,5.743437784,0.4443233352,5.774671078,3.901976109,7.20177269,10859
Unknown Genre,225,0.0136761488,2493,0.1515317287,5.466107088,0.5245037357,5.511511326,3.325692177,7.047830582,16452
Religious Painting,23,0.003517895381,672,0.1027837259,5.540305578,0.401794053,5.591722488,3.885255814,6.760338783,6538
Still Life,5,0.001793400287,228,0.08177905308,5.524862199,0.3702777145,5.55176878,3.87620163,6.65059185,2788
Illustration,11,0.00578338591,140,0.07360672976,5.265037845,0.5781990354,5.360522747,3.402100563,6.889500618,1902
Nude Painting,3,0.001560062402,117,0.0608424337,5.425418797,0.4062694639,5.451795578,3.576277733,6.817035675,1923
Sketch And Study,10,0.002536783359,159,0.0403348554,5.135022664,0.4969913174,5.151537895,3.512292385,7.224266052,3942
Abstract Painting,0,0,6,0.001207729469,4.931780869,0.3712434877,4.943170309,3.499158859,6.090532303,4968
