style,num >= 6.5,percent >= 6.5,num >= 6,percent >= 6,mean,std,median,min,max,count
Realism,634,0.05907015746,4155,0.3871238237,5.823483177,0.483976403,5.870985031,3.547286987,7.20177269,10733
Romanticism,371,0.05285653227,2723,0.387947001,5.817953139,0.4792203462,5.874162674,3.885255814,7.127380371,7019
Impressionism,646,0.04946401225,4898,0.3750382848,5.889111897,0.3830251939,5.894991159,3.656172752,7.448756218,13060
Post Impressionism,301,0.04666666667,1721,0.2668217054,5.745901816,0.4916826731,5.76644516,3.512292385,7.543863773,6450
New Realism,14,0.04458598726,142,0.4522292994,5.88663354,0.4213601983,5.951904774,4.556888104,6.893992424,314
Symbolism,146,0.03224381625,1104,0.2438162544,5.638947876,0.507435711,5.679563999,3.635390282,6.956054211,4528
Pointillism,16,0.03118908382,206,0.4015594542,5.875240767,0.3882272142,5.913377762,4.632446766,6.868069649,513
Art Nouveau,97,0.02238117213,715,0.1649746193,5.429605196,0.5702796281,5.451820374,3.495790005,7.07434845,4334
Ukiyo E,20,0.01713796058,238,0.2039417309,5.722003513,0.3629172808,5.726002216,4.100548744,6.825510979,1167
Contemporary Realism,6,0.01247401247,102,0.2120582121,5.694627351,0.3924493148,5.722691536,4.092329025,6.729604721,481
Early Renaissance,16,0.01150251618,187,0.1344356578,5.598852555,0.4134277157,5.629542351,3.633123398,6.73321867,1391
Rococo,15,0.007180469124,428,0.204882719,5.706081255,0.3651391543,5.728585243,3.847504139,6.74063015,2089
High Renaissance,9,0.006701414743,243,0.1809381981,5.602903936,0.433347365,5.647080898,3.575269699,6.760045052,1343
Mannerism Late Renaissance,8,0.00625488663,203,0.1587177482,5.63677393,0.3811715303,5.658614159,3.890859604,6.682905197,1279
Expressionism,39,0.005789786223,833,0.1236638955,5.435704948,0.5089778005,5.489572763,3.325692177,7.021521092,6736
Cubism,12,0.005369127517,210,0.09395973154,5.480451985,0.4246495394,5.504600048,3.606851101,6.759394169,2235
Naive Art Primitivism,8,0.003326403326,182,0.07567567568,5.299944826,0.5128356382,5.338312626,3.413141251,6.615718842,2405
Northern Renaissance,7,0.002742946708,314,0.1230407524,5.484997249,0.4506820377,5.531410933,3.804160595,6.660542488,2552
Fauvism,2,0.002141327623,122,0.130620985,5.554678154,0.3995275269,5.568562984,4.094649792,6.60200882,934
Baroque,8,0.001886792453,543,0.1280660377,5.59779368,0.386032955,5.64802289,3.843745232,6.604701996,4240
Pop Art,2,0.001348617667,33,0.0222521915,5.043672644,0.484873683,5.052286148,3.391394138,6.747014046,1483
Analytical Cubism,0,0,8,0.07272727273,5.597491368,0.2890673225,5.607321262,4.524961472,6.199876785,110
Synthetic Cubism,0,0,7,0.03240740741,5.456387361,0.3016579206,5.481628656,4.479554176,6.160485745,216
Action Painting,0,0,0,0,5.07218123,0.3151328069,5.128685713,3.808272839,5.650386334,98
Abstract Expressionism,0,0,7,0.002516175413,4.957079698,0.3547953529,4.961301565,3.627885819,6.325443745,2782
Color Field Painting,0,0,2,0.001238390093,4.936192518,0.3694749232,4.946334362,3.568555832,6.090532303,1615
Minimalism,0,0,3,0.002243829469,4.827382836,0.3832416811,4.828440666,3.499158859,6.052955627,1337
